Volume,AVL_Insercao(ns),RBT_Insercao(ns),AVL_Busca(ns),RBT_Busca(ns),AVL_Remocao(ns),RBT_Remocao(ns),AVL_RotInsercao,RBT_RotInsercao,AVL_RotRemocao,RBT_RotRemocao
1000,55800,32100,25300,27000,12200,10600,990,983,98,100
5000,271300,212900,150600,158100,48300,47000,4987,4978,498,500
10000,571800,470500,306500,333300,120600,91100,9986,9976,998,1000
25000,1638600,1337800,808000,857400,333600,404000,24985,24973,2497,2499
50000,3333500,3042400,1671500,1808100,466800,333600,49984,49971,4997,4999
75000,6518700,4707200,2977300,2964100,702300,503700,74983,74970,7496,7500
100000,7012400,6441200,3674700,3764400,996100,726200,99983,99969,9997,9999
